Gold (OG|GC) OG4M6 (0.24 DTE) vs 4064.8 (+17.2) - Open Interest
Put: 5,189  Call: 4,854  Vol: 39.36  Vol Chg: 4.03  Future Chg: 17.2
Strike,Call,Put,Vol Settle
3945,1,11,0.4601548109203577
3950,0,159,0.45368318062173785
3955,0,33,0.44733228048880846
3960,0,54,0.4411138361401754
3965,1,63,0.4350392441128861
3970,0,51,0.42911957189426175
3975,7,70,0.4233655578991602
3980,0,59,0.41778761145633325
3985,7,47,0.4123958128548111
3990,4,31,0.40719991329478944
3995,4,46,0.4022093349185525
4000,75,543,0.39743317078591645
4005,14,30,0.3928801849078809
4010,18,94,0.3885588122284389
4015,19,55,0.38447715859274467
4020,13,62,0.3806430008089592
4025,30,95,0.377063786605504
4030,4,107,0.3737466346465226
4035,8,95,0.3706983345300614
4040,55,57,0.367925346766242
4045,54,70,0.3654338028254642
4050,150,117,0.3632295050911125
4055,26,51,0.3613179268950262
4060,54,41,0.3597042124647487
4065,20,16,0.35839317701811524
4070,69,22,0.3573893066477467
4075,99,138,0.3566967584001759
4080,136,99,0.3563193602831234
4085,52,12,0.3562606111727291
4090,65,5,0.3565236809427006
4095,35,6,0.3571114103542641
4100,243,381,0.3580263111161912
4105,13,5,0.3592705658702471
4110,29,20,0.36084602819119027
4115,24,20,0.36275422257767787
4120,68,16,0.3649963444695459
4125,55,50,0.36757326022507186
4130,54,8,0.3704855071473503
4135,35,6,0.37373329347883555
4140,50,8,0.37731649836678116
4145,27,3,0.381234671915081
4150,112,157,0.3854870351460704
4155,11,11,0.39007248001144035
4160,76,10,0.39498956942679797
4165,27,3,0.4002365371798078
4170,33,7,0.4058112880529734
4175,47,52,0.41171139771813614
4180,50,94,0.41793411278831627
4185,73,22,0.4244763508313554
